src/commands/buddy/index.ts:5:  name: 'buddy',
src/commands/hooks/index.ts:6:  description: 'View hook configurations for tool events',
src/commands/usage/index.ts:5:  name: 'usage',
src/commands/usage/index.ts:6:  description: 'Show plan usage limits',
src/commands/reload-plugins/index.ts:9:  name: 'reload-plugins',
src/commands/reload-plugins/index.ts:10:  description: 'Activate pending plugin changes in the current session',
src/commands/add-dir/index.ts:5:  name: 'add-dir',
src/commands/add-dir/index.ts:6:  description: 'Add a new working directory',
src/commands/theme/index.ts:5:  name: 'theme',
src/commands/theme/index.ts:6:  description: 'Change the theme',
src/commands/help/index.ts:5:  name: 'help',
src/commands/help/index.ts:6:  description: 'Show help and available commands',
src/commands/release-notes/index.ts:4:  description: 'View release notes',
src/commands/release-notes/index.ts:5:  name: 'release-notes',
src/commands/desktop/index.ts:15:  name: 'desktop',
src/commands/desktop/index.ts:17:  description: 'Continue the current session in Claude Desktop',
src/commands/upgrade/index.ts:7:  name: 'upgrade',
src/commands/upgrade/index.ts:8:  description: 'Upgrade to Max for higher rate limits and more Opus',
src/commands/status/index.ts:5:  name: 'status',
src/commands/config/index.ts:6:  name: 'config',
src/commands/config/index.ts:7:  description: 'Open config panel',
src/commands/terminalSetup/index.ts:14:  name: 'terminal-setup',
src/commands/heapdump/index.ts:5:  name: 'heapdump',
src/commands/heapdump/index.ts:6:  description: 'Dump the JS heap to ~/Desktop',
src/commands/rate-limit-options/index.ts:6:  name: 'rate-limit-options',
src/commands/rate-limit-options/index.ts:7:  description: 'Show options when rate limit is reached',
src/commands/clear/index.ts:12:  name: 'clear',
src/commands/clear/index.ts:13:  description: 'Clear conversation history and free up context',
src/commands/compact/index.ts:6:  name: 'compact',
src/commands/stats/index.ts:5:  name: 'stats',
src/commands/stats/index.ts:6:  description: 'Show your Claude Code usage statistics and activity',
src/commands/cache-probe/index.ts:6:  name: 'cache-probe',
src/commands/feedback/index.ts:10:  name: 'feedback',
src/commands/cost/index.ts:10:  name: 'cost',
src/commands/cost/index.ts:11:  description: 'Show the total cost and duration of the current session',
src/commands/provider/index.ts:5:  name: 'provider',
src/commands/provider/index.ts:6:  description: 'Manage API provider profiles',
src/commands/color/index.ts:9:  name: 'color',
src/commands/color/index.ts:10:  description: 'Set the prompt bar color for this session',
src/commands/cacheStats/index.ts:17:  name: 'cache-stats',
src/commands/skills/index.ts:5:  name: 'skills',
src/commands/skills/index.ts:6:  description: 'List available skills',
src/commands/fast/index.ts:10:  name: 'fast',
src/commands/context/index.ts:5:  name: 'context',
src/commands/context/index.ts:6:  description: 'Visualize current context usage as a colored grid',
src/commands/context/index.ts:14:  name: 'context',
src/commands/context/index.ts:16:  description: 'Show current context usage',
src/commands/copy/index.ts:9:  name: 'copy',
src/commands/privacy-settings/index.ts:6:  name: 'privacy-settings',
src/commands/privacy-settings/index.ts:7:  description: 'View and update your privacy settings',
src/commands/effort/index.ts:6:  name: 'effort',
src/commands/effort/index.ts:7:  description: 'Set effort level for model usage',
src/commands/doctor/index.ts:5:  name: 'doctor',
src/commands/doctor/index.ts:6:  description: 'Diagnose and verify your Claude Code installation and settings',
src/commands/extra-usage/index.ts:15:  name: 'extra-usage',
src/commands/extra-usage/index.ts:16:  description: 'Configure extra usage to keep working when limits are hit',
src/commands/extra-usage/index.ts:23:  name: 'extra-usage',
src/commands/extra-usage/index.ts:25:  description: 'Configure extra usage to keep working when limits are hit',
src/commands/diff/index.ts:5:  name: 'diff',
src/commands/exit/index.ts:5:  name: 'exit',
src/commands/exit/index.ts:7:  description: 'Exit the REPL',
src/commands/session/index.ts:6:  name: 'session',
src/commands/session/index.ts:8:  description: 'Show remote session URL and QR code',
src/commands/export/index.ts:5:  name: 'export',
src/commands/export/index.ts:6:  description: 'Export the current conversation to a file or clipboard',
src/commands/rewind/index.ts:5:  name: 'rewind',
src/commands/plan/index.ts:5:  name: 'plan',
src/commands/plan/index.ts:6:  description: 'Enable plan mode or view the current session plan',
src/commands/permissions/index.ts:5:  name: 'permissions',
src/commands/permissions/index.ts:7:  description: 'Manage allow & deny tool permission rules',
src/commands/sandbox-toggle/index.ts:6:  name: 'sandbox',
src/commands/passes/index.ts:9:  name: 'passes',
src/commands/memory/index.ts:5:  name: 'memory',
src/commands/memory/index.ts:6:  description: 'Edit Claude memory files',
src/commands/model/index.ts:7:  name: 'model',
src/commands/output-style/index.ts:5:  name: 'output-style',
src/commands/output-style/index.ts:6:  description: 'Deprecated: use /config to change output style',

[Showing results with pagination = limit: 120]
